Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   500003     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00   500003     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00   500003     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.00     0.00   500003     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00   400000     0.00     0.00  grep_helper_base<char, std::vector<int, std::allocator<int> >, equal_to<char>&>::s()
  0.00      0.00     0.00   400000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.00     0.00   400000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_get_size() const
  0.00      0.00     0.00   400000     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<char*> >, true>::_S_do_it(std::allocator<std::_List_node<char*> > const&, std::allocator<std::_List_node<char*> > const&)
  0.00      0.00     0.00   400000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::_M_transfer(std::_List_iterator<char*>, std::_List_iterator<char*>, std::_List_iterator<char*>)
  0.00      0.00     0.00   400000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::_M_check_equal_allocators(std::__cxx11::list<char*, std::allocator<char*> >&)
  0.00      0.00     0.00   400000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::begin()
  0.00      0.00     0.00   200002     0.00     0.00  std::_Head_base<1ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false>::~_Head_base()
  0.00      0.00     0.00   200002     0.00     0.00  std::_Head_base<2ul, std::vector<int, std::allocator<int> >, false>::~_Head_base()
  0.00      0.00     0.00   200002     0.00     0.00  std::_Tuple_impl<0ul, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >::~_Tuple_impl()
  0.00      0.00     0.00   200002     0.00     0.00  std::_Tuple_impl<1ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >::~_Tuple_impl()
  0.00      0.00     0.00   200002     0.00     0.00  std::_Tuple_impl<2ul, std::vector<int, std::allocator<int> > >::~_Tuple_impl()
  0.00      0.00     0.00   200002     0.00     0.00  std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >::~tuple()
  0.00      0.00     0.00   200001     0.00     0.00  std::_Head_base<1ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false>::_Head_base(std::_Head_base<1ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, false> const&)
  0.00      0.00     0.00   200001     0.00     0.00  std::_Head_base<2ul, std::vector<int, std::allocator<int> >, false>::_Head_base(std::_Head_base<2ul, std::vector<int, std::allocator<int> >, false> const&)
  0.00      0.00     0.00   200001     0.00     0.00  std::_Tuple_impl<0ul, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >::_Tuple_impl(std::_Tuple_impl<0ul, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00   200001     0.00     0.00  std::_Tuple_impl<1ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >::_Tuple_impl(std::_Tuple_impl<1ul, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00   200001     0.00     0.00  std::_Tuple_impl<2ul, std::vector<int, std::allocator<int> > >::_Tuple_impl(std::_Tuple_impl<2ul, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00   200001     0.00     0.00  std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >::tuple(std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > const&)
  0.00      0.00     0.00   200000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, std::vector<int, std::allocator<int> >, equal_to<char>&>(std::vector<int, std::allocator<int> >&, equal_to<char>&)
  0.00      0.00     0.00   200000     0.00     0.00  grep_helper<char, std::vector<int, std::allocator<int> >, equal_to<char>&, Iterability::runtime_iterable>::grep_helper(std::vector<int, std::allocator<int> >&, equal_to<char>&)
  0.00      0.00     0.00   200000     0.00     0.00  grep_helper<char, std::vector<int, std::allocator<int> >, equal_to<char>&, Iterability::runtime_iterable>::operator()()
  0.00      0.00     0.00   200000     0.00     0.00  grep_helper_base<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, equal_to<char>&>::s()
  0.00      0.00     0.00   200000     0.00     0.00  grep_helper_base<char, std::tuple<std::vector<int, std::allocator<int> >, char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > >, equal_to<char>&>::s()
  0.00      0.00     0.00   200000     0.00     0.00  grep_helper_base<char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >, equal_to<char>&>::s()
  0.00      0.00     0.00   200000     0.00     0.00  grep_helper_base<char, std::vector<int, std::allocator<int> >, equal_to<char>&>::predicate_on_s()
  0.00      0.00     0.00   200000     0.00     0.00  grep_helper_base<char, std::vector<int, std::allocator<int> >, equal_to<char>&>::grep_helper_base(std::vector<int, std::allocator<int> >&, equal_to<char>&)
  0.00      0.00     0.00   200000     0.00     0.00  void insert_in_list_if<false>::insert_if<std::__cxx11::list<char*, std::allocator<char*> >, std::vector<int, std::allocator<int> >*>(std::__cxx11::list<char*, std::allocator<char*> >, std::vector<int, std::allocator<int> >*, bool)
  0.00      0.00     0.00   200000     0.00     0.00  splice_grep_result_in<char, equal_to<char>&>::splice_grep_result_in(std::__cxx11::list<char*, std::allocator<char*> >&, equal_to<char>&)
  0.00      0.00     0.00   200000     0.00     0.00  bool splice_grep_result_in<char, equal_to<char>&>::operator()<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00   200000     0.00     0.00  bool apply_predicate_or_false<false>::predict<equal_to<char>&, std::vector<int, std::allocator<int> > >(equal_to<char>&, std::vector<int, std::allocator<int> >)
  0.00      0.00     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<char*> >::deallocate(std::_List_node<char*>*, unsigned long)
  0.00      0.00     0.00   200000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<char*> >::destroy<std::_List_node<char*> >(std::_List_node<char*>*)
  0.00      0.00     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<char*> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00   200000     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt10_List_nodeIPcEE9constructIS3_IS2_EEEvPT_DpOT0_
  0.00      0.00     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<char*> >::max_size() const
  0.00      0.00     0.00   200000     0.00     0.00  std::_List_node<char*>::_List_node<char*>(char*&&)
  0.00      0.00     0.00   200000     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00   200000     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00   200000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_get_node()
  0.00      0.00     0.00   200000     0.00     0.00  std::__cxx11::_List_base<char*, std::allocator<char*> >::_M_put_node(std::_List_node<char*>*)
  0.00      0.00     0.00   200000     0.00     0.00  std::_List_node<char*>* std::__cxx11::list<char*, std::allocator<char*> >::_M_create_node<char*>(char*&&)
  0.00      0.00     0.00   200000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> >::insert(std::_List_const_iterator<char*>, char*&&)
  0.00      0.00     0.00   200000     0.00     0.00  std::_List_iterator<char*> std::__cxx11::list<char*, std::allocator<char*> >::emplace<char*>(std::_List_const_iterator<char*>, char*&&)
  0.00      0.00     0.00   200000     0.00     0.00  std::remove_reference<char*&>::type&& std::move<char*&>(char*&)
  0.00      0.00     0.00   200000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00   100001     0.00     0.00  std::_Head_base<0ul, std::vector<int, std::allocator<int> >, false>::~_Head_base()
  0.00      0.00     0.00   100001     0.00     0.00  std::_Head_base<2ul, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >, false>::~_Head_base()
  0.00      0.00     0.00   100001     0.00     0.00  std::_Tuple_impl<0ul, std::vector<int, std::allocator<int> >, char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > >::~_Tuple_impl()
  0.00      0.00     0.00   100001     0.00     0.00  std::_Tuple_impl<1ul, char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > >::~_Tuple_impl()
  0.00      0.00     0.00   100001     0.00     0.00  std::_Tuple_impl<2ul, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > >::~_Tuple_impl()
  0.00      0.00     0.00   100001     0.00     0.00  std::tuple<std::vector<int, std::allocator<int> >, char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > >::~tuple()
  0.00      0.00     0.00   100000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, equal_to<char>&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, equal_to<char>&)
  0.00      0.00     0.00   100000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, std::tuple<std::vector<int, std::allocator<int> >, char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > >, equal_to<char>&>(std::tuple<std::vector<int, std::allocator<int> >, char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > > >&, equal_to<char>&)
  0.00      0.00     0.00   100000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >, equal_to<char>&>(std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >&, equal_to<char>&)
  0.00      0.00     0.00   100000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, char, equal_to<char>&>(char&, equal_to<char>&)
  0.00      0.00     0.00   100000     0.00     0.00  std::__cxx11::list<char*, std::allocator<char*> > grep<char, int, equal_to<char>&>(int&, equal_to<char>&)
  0.00      0.00     0.00   100000     0.00     0.00  grep_helper<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, equal_to<char>&, Iterability::runtime_iterable>::grep_helper(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, equal_to<char>&)
  0.00      0.00     0.00   100000     0.00     0.00  grep_helper<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, equal_to<char>&, Iterability::runtime_iterable>::operator()()
  0.00      0.00     0.00   100000     0.00     0.00  grep_helper<char, std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >, equal_to<char>&, Iterability::compiletime_iterable>::grep_helper(std::tuple<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::vector<int, std::allocator<int> > >&, equal_to<char>&)
